ICD-10-CM,description,dx_broad,Diagnosis,Sheet 
C8178,"Other Hodgkin lymphoma, lymph nodes of multiple sites",cancer,Non CNS Cancer,CCS 2015 -> ICD-539
C8179,"Other Hodgkin lymphoma, extranodal and solid organ sites",cancer,Non CNS Cancer,CCS 2015 -> ICD-540
C8171,"Other Hodgkin lymphoma, lymph nodes of head, face, and neck",cancer,Non CNS Cancer,CCS 2015 -> ICD-541
C8172,"Other Hodgkin lymphoma, intrathoracic lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-542
C8173,"Other Hodgkin lymphoma, intra-abdominal lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-543
C8174,"Other Hodgkin lymphoma, lymph nodes of axilla and upper limb",cancer,Non CNS Cancer,CCS 2015 -> ICD-544
C8175,"Other Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",cancer,Non CNS Cancer,CCS 2015 -> ICD-545
C8176,"Other Hodgkin lymphoma, intrapelvic lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-546
C8177,"Other Hodgkin lymphoma, spleen",cancer,Non CNS Cancer,CCS 2015 -> ICD-547
C8178,"Other Hodgkin lymphoma, lymph nodes of multiple sites",cancer,Non CNS Cancer,CCS 2015 -> ICD-548
C8179,"Other Hodgkin lymphoma, extranodal and solid organ sites",cancer,Non CNS Cancer,CCS 2015 -> ICD-549
C8171,"Other Hodgkin lymphoma, lymph nodes of head, face, and neck",cancer,Non CNS Cancer,CCS 2015 -> ICD-550
C8172,"Other Hodgkin lymphoma, intrathoracic lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-551
C8173,"Other Hodgkin lymphoma, intra-abdominal lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-552
C8174,"Other Hodgkin lymphoma, lymph nodes of axilla and upper limb",cancer,Non CNS Cancer,CCS 2015 -> ICD-553
C8175,"Other Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",cancer,Non CNS Cancer,CCS 2015 -> ICD-554
C8176,"Other Hodgkin lymphoma, intrapelvic lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-555
C8177,"Other Hodgkin lymphoma, spleen",cancer,Non CNS Cancer,CCS 2015 -> ICD-556
C8178,"Other Hodgkin lymphoma, lymph nodes of multiple sites",cancer,Non CNS Cancer,CCS 2015 -> ICD-557
C8100,"Nodular lymphocyte predominant Hodgkin lymphoma, unspecified site",cancer,Non CNS Cancer,CCS 2015 -> ICD-558
C8109,"Nodular lymphocyte predominant Hodgkin lymphoma, extranodal and solid organ sites",cancer,Non CNS Cancer,CCS 2015 -> ICD-559
C8140,"Lymphocyte-rich Hodgkin lymphoma, unspecified site",cancer,Non CNS Cancer,CCS 2015 -> ICD-560
C8149,"Lymphocyte-rich Hodgkin lymphoma, extranodal and solid organ sites",cancer,Non CNS Cancer,CCS 2015 -> ICD-561
C8101,"Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of head, face, and neck",cancer,Non CNS Cancer,CCS 2015 -> ICD-562
C8141,"Lymphocyte-rich Hodgkin lymphoma, lymph nodes of head, face, and neck",cancer,Non CNS Cancer,CCS 2015 -> ICD-563
C8102,"Nodular lymphocyte predominant Hodgkin lymphoma, intrathoracic lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-564
C8142,"Lymphocyte-rich Hodgkin lymphoma, intrathoracic lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-565
C8103,"Nodular lymphocyte predominant Hodgkin lymphoma, intra-abdominal lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-566
C8143,"Lymphocyte-rich Hodgkin lymphoma, intra-abdominal lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-567
C8104,"Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of axilla and upper limb",cancer,Non CNS Cancer,CCS 2015 -> ICD-568
C8144,"Lymphocyte-rich Hodgkin lymphoma, lymph nodes of axilla and upper limb",cancer,Non CNS Cancer,CCS 2015 -> ICD-569
C8105,"Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",cancer,Non CNS Cancer,CCS 2015 -> ICD-570
C8145,"Lymphocyte-rich Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",cancer,Non CNS Cancer,CCS 2015 -> ICD-571
C8106,"Nodular lymphocyte predominant Hodgkin lymphoma, intrapelvic lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-572
C8146,"Lymphocyte-rich Hodgkin lymphoma, intrapelvic lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-573
C8107,"Nodular lymphocyte predominant Hodgkin lymphoma, spleen",cancer,Non CNS Cancer,CCS 2015 -> ICD-574
C8147,"Lymphocyte-rich Hodgkin lymphoma, spleen",cancer,Non CNS Cancer,CCS 2015 -> ICD-575
C8108,"Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of multiple sites",cancer,Non CNS Cancer,CCS 2015 -> ICD-576
C8148,"Lymphocyte-rich Hodgkin lymphoma, lymph nodes of multiple sites",cancer,Non CNS Cancer,CCS 2015 -> ICD-577
C8110,"Nodular sclerosis Hodgkin lymphoma, unspecified site",cancer,Non CNS Cancer,CCS 2015 -> ICD-578
C8119,"Nodular sclerosis Hodgkin lymphoma, extranodal and solid organ sites",cancer,Non CNS Cancer,CCS 2015 -> ICD-579
C8111,"Nodular sclerosis Hodgkin lymphoma, lymph nodes of head, face, and neck",cancer,Non CNS Cancer,CCS 2015 -> ICD-580
C8112,"Nodular sclerosis Hodgkin lymphoma, intrathoracic lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-581
C8113,"Nodular sclerosis Hodgkin lymphoma, intra-abdominal lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-582
C8114,"Nodular sclerosis Hodgkin lymphoma, lymph nodes of axilla and upper limb",cancer,Non CNS Cancer,CCS 2015 -> ICD-583
C8115,"Nodular sclerosis Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",cancer,Non CNS Cancer,CCS 2015 -> ICD-584
C8116,"Nodular sclerosis Hodgkin lymphoma, intrapelvic lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-585
C8117,"Nodular sclerosis Hodgkin lymphoma, spleen",cancer,Non CNS Cancer,CCS 2015 -> ICD-586
C8118,"Nodular sclerosis Hodgkin lymphoma, lymph nodes of multiple sites",cancer,Non CNS Cancer,CCS 2015 -> ICD-587
C8120,"Mixed cellularity Hodgkin lymphoma, unspecified site",cancer,Non CNS Cancer,CCS 2015 -> ICD-588
C8129,"Mixed cellularity Hodgkin lymphoma, extranodal and solid organ sites",cancer,Non CNS Cancer,CCS 2015 -> ICD-589
C8121,"Mixed cellularity Hodgkin lymphoma, lymph nodes of head, face, and neck",cancer,Non CNS Cancer,CCS 2015 -> ICD-590
C8122,"Mixed cellularity Hodgkin lymphoma, intrathoracic lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-591
C8123,"Mixed cellularity Hodgkin lymphoma, intra-abdominal lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-592
C8124,"Mixed cellularity Hodgkin lymphoma, lymph nodes of axilla and upper limb",cancer,Non CNS Cancer,CCS 2015 -> ICD-593
C8125,"Mixed cellularity Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",cancer,Non CNS Cancer,CCS 2015 -> ICD-594
C8126,"Mixed cellularity Hodgkin lymphoma, intrapelvic lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-595
C8127,"Mixed cellularity Hodgkin lymphoma, spleen",cancer,Non CNS Cancer,CCS 2015 -> ICD-596
C8128,"Mixed cellularity Hodgkin lymphoma, lymph nodes of multiple sites",cancer,Non CNS Cancer,CCS 2015 -> ICD-597
C8130,"Lymphocyte depleted Hodgkin lymphoma, unspecified site",cancer,Non CNS Cancer,CCS 2015 -> ICD-598
C8139,"Lymphocyte depleted Hodgkin lymphoma, extranodal and solid organ sites",cancer,Non CNS Cancer,CCS 2015 -> ICD-599
C8131,"Lymphocyte depleted Hodgkin lymphoma, lymph nodes of head, face, and neck",cancer,Non CNS Cancer,CCS 2015 -> ICD-600
C8132,"Lymphocyte depleted Hodgkin lymphoma, intrathoracic lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-601
C8133,"Lymphocyte depleted Hodgkin lymphoma, intra-abdominal lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-602
C8134,"Lymphocyte depleted Hodgkin lymphoma, lymph nodes of axilla and upper limb",cancer,Non CNS Cancer,CCS 2015 -> ICD-603
C8135,"Lymphocyte depleted Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",cancer,Non CNS Cancer,CCS 2015 -> ICD-604
C8136,"Lymphocyte depleted Hodgkin lymphoma, intrapelvic lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-605
C8137,"Lymphocyte depleted Hodgkin lymphoma, spleen",cancer,Non CNS Cancer,CCS 2015 -> ICD-606
C8138,"Lymphocyte depleted Hodgkin lymphoma, lymph nodes of multiple sites",cancer,Non CNS Cancer,CCS 2015 -> ICD-607
C8190,"Hodgkin lymphoma, unspecified, unspecified site",cancer,Non CNS Cancer,CCS 2015 -> ICD-608
C8199,"Hodgkin lymphoma, unspecified, extranodal and solid organ sites",cancer,Non CNS Cancer,CCS 2015 -> ICD-609
C8191,"Hodgkin lymphoma, unspecified, lymph nodes of head, face, and neck",cancer,Non CNS Cancer,CCS 2015 -> ICD-610
C8192,"Hodgkin lymphoma, unspecified, intrathoracic lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-611
C8193,"Hodgkin lymphoma, unspecified, intra-abdominal lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-612
C8194,"Hodgkin lymphoma, unspecified, lymph nodes of axilla and upper limb",cancer,Non CNS Cancer,CCS 2015 -> ICD-613
C8195,"Hodgkin lymphoma, unspecified, lymph nodes of inguinal region and lower limb",cancer,Non CNS Cancer,CCS 2015 -> ICD-614
C8196,"Hodgkin lymphoma, unspecified, intrapelvic lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-615
C8197,"Hodgkin lymphoma, unspecified, spleen",cancer,Non CNS Cancer,CCS 2015 -> ICD-616
C8198,"Hodgkin lymphoma, unspecified, lymph nodes of multiple sites",cancer,Non CNS Cancer,CCS 2015 -> ICD-617
Z8571,Personal history of Hodgkin lymphoma,cancer,Non CNS Cancer,CCS 2015 -> ICD-618
C8330,"Diffuse large B-cell lymphoma, unspecified site",cancer,Non CNS Cancer,CCS 2015 -> ICD-619
C8339,Code not found,other,Non CNS Cancer,CCS 2015 -> ICD-620
C8331,"Diffuse large B-cell lymphoma, lymph nodes of head, face, and neck",cancer,Non CNS Cancer,CCS 2015 -> ICD-621
C8332,"Diffuse large B-cell lymphoma, intrathoracic lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-622
C8333,"Diffuse large B-cell lymphoma, intra-abdominal lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-623
C8334,"Diffuse large B-cell lymphoma, lymph nodes of axilla and upper limb",cancer,Non CNS Cancer,CCS 2015 -> ICD-624
C8335,"Diffuse large B-cell lymphoma, lymph nodes of inguinal region and lower limb",cancer,Non CNS Cancer,CCS 2015 -> ICD-625
C8336,"Diffuse large B-cell lymphoma, intrapelvic lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-626
C8337,"Diffuse large B-cell lymphoma, spleen",cancer,Non CNS Cancer,CCS 2015 -> ICD-627
C8338,"Diffuse large B-cell lymphoma, lymph nodes of multiple sites",cancer,Non CNS Cancer,CCS 2015 -> ICD-628
C8350,"Lymphoblastic (diffuse) lymphoma, unspecified site",cancer,Non CNS Cancer,CCS 2015 -> ICD-629
C8359,"Lymphoblastic (diffuse) lymphoma, extranodal and solid organ sites",cancer,Non CNS Cancer,CCS 2015 -> ICD-630
C8351,"Lymphoblastic (diffuse) lymphoma, lymph nodes of head, face, and neck",cancer,Non CNS Cancer,CCS 2015 -> ICD-631
C8352,"Lymphoblastic (diffuse) lymphoma, intrathoracic lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-632
C8353,"Lymphoblastic (diffuse) lymphoma, intra-abdominal lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-633
C8354,"Lymphoblastic (diffuse) lymphoma, lymph nodes of axilla and upper limb",cancer,Non CNS Cancer,CCS 2015 -> ICD-634
C8355,"Lymphoblastic (diffuse) lymphoma, lymph nodes of inguinal region and lower limb",cancer,Non CNS Cancer,CCS 2015 -> ICD-635
C8356,"Lymphoblastic (diffuse) lymphoma, intrapelvic lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-636
C8357,"Lymphoblastic (diffuse) lymphoma, spleen",cancer,Non CNS Cancer,CCS 2015 -> ICD-637
C8358,"Lymphoblastic (diffuse) lymphoma, lymph nodes of multiple sites",cancer,Non CNS Cancer,CCS 2015 -> ICD-638
C8370,"Burkitt lymphoma, unspecified site",cancer,Non CNS Cancer,CCS 2015 -> ICD-639
C8379,"Burkitt lymphoma, extranodal and solid organ sites",cancer,Non CNS Cancer,CCS 2015 -> ICD-640
C8371,"Burkitt lymphoma, lymph nodes of head, face, and neck",cancer,Non CNS Cancer,CCS 2015 -> ICD-641
C8372,"Burkitt lymphoma, intrathoracic lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-642
C8373,"Burkitt lymphoma, intra-abdominal lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-643
C8374,"Burkitt lymphoma, lymph nodes of axilla and upper limb",cancer,Non CNS Cancer,CCS 2015 -> ICD-644
C8375,"Burkitt lymphoma, lymph nodes of inguinal region and lower limb",cancer,Non CNS Cancer,CCS 2015 -> ICD-645
C8376,"Burkitt lymphoma, intrapelvic lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-646
C8377,"Burkitt lymphoma, spleen",cancer,Non CNS Cancer,CCS 2015 -> ICD-647
C8378,"Burkitt lymphoma, lymph nodes of multiple sites",cancer,Non CNS Cancer,CCS 2015 -> ICD-648
C8380,"Other non-follicular lymphoma, unspecified site",cancer,Non CNS Cancer,CCS 2015 -> ICD-649
C8389,"Other non-follicular lymphoma, extranodal and solid organ sites",cancer,Non CNS Cancer,CCS 2015 -> ICD-650
C8381,"Other non-follicular lymphoma, lymph nodes of head, face, and neck",cancer,Non CNS Cancer,CCS 2015 -> ICD-651
C8382,"Other non-follicular lymphoma, intrathoracic lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-652
C8383,"Other non-follicular lymphoma, intra-abdominal lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-653
C8384,"Other non-follicular lymphoma, lymph nodes of axilla and upper limb",cancer,Non CNS Cancer,CCS 2015 -> ICD-654
C8385,"Other non-follicular lymphoma, lymph nodes of inguinal region and lower limb",cancer,Non CNS Cancer,CCS 2015 -> ICD-655
C8386,"Other non-follicular lymphoma, intrapelvic lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-656
C8387,"Other non-follicular lymphoma, spleen",cancer,Non CNS Cancer,CCS 2015 -> ICD-657
C8388,"Other non-follicular lymphoma, lymph nodes of multiple sites",cancer,Non CNS Cancer,CCS 2015 -> ICD-658
C8310,"Mantle cell lymphoma, unspecified site",cancer,Non CNS Cancer,CCS 2015 -> ICD-659
C8319,"Mantle cell lymphoma, extranodal and solid organ sites",cancer,Non CNS Cancer,CCS 2015 -> ICD-660
C8311,"Mantle cell lymphoma, lymph nodes of head, face, and neck",cancer,Non CNS Cancer,CCS 2015 -> ICD-661
C8312,"Mantle cell lymphoma, intrathoracic lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-662
C8313,"Mantle cell lymphoma, intra-abdominal lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-663
C8314,"Mantle cell lymphoma, lymph nodes of axilla and upper limb",cancer,Non CNS Cancer,CCS 2015 -> ICD-664
C8315,"Mantle cell lymphoma, lymph nodes of inguinal region and lower limb",cancer,Non CNS Cancer,CCS 2015 -> ICD-665
C8316,"Mantle cell lymphoma, intrapelvic lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-666
C8317,"Mantle cell lymphoma, spleen",cancer,Non CNS Cancer,CCS 2015 -> ICD-667
C8318,"Mantle cell lymphoma, lymph nodes of multiple sites",cancer,Non CNS Cancer,CCS 2015 -> ICD-668
C8339,Code not found,other,Non CNS Cancer,CCS 2015 -> ICD-669
C8380,"Other non-follicular lymphoma, unspecified site",cancer,Non CNS Cancer,CCS 2015 -> ICD-670
C8389,"Other non-follicular lymphoma, extranodal and solid organ sites",cancer,Non CNS Cancer,CCS 2015 -> ICD-671
C8331,"Diffuse large B-cell lymphoma, lymph nodes of head, face, and neck",cancer,Non CNS Cancer,CCS 2015 -> ICD-672
C8381,"Other non-follicular lymphoma, lymph nodes of head, face, and neck",cancer,Non CNS Cancer,CCS 2015 -> ICD-673
C8332,"Diffuse large B-cell lymphoma, intrathoracic lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-674
C8382,"Other non-follicular lymphoma, intrathoracic lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-675
C8333,"Diffuse large B-cell lymphoma, intra-abdominal lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-676
C8383,"Other non-follicular lymphoma, intra-abdominal lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-677
C8334,"Diffuse large B-cell lymphoma, lymph nodes of axilla and upper limb",cancer,Non CNS Cancer,CCS 2015 -> ICD-678
C8384,"Other non-follicular lymphoma, lymph nodes of axilla and upper limb",cancer,Non CNS Cancer,CCS 2015 -> ICD-679
C8335,"Diffuse large B-cell lymphoma, lymph nodes of inguinal region and lower limb",cancer,Non CNS Cancer,CCS 2015 -> ICD-680
C8385,"Other non-follicular lymphoma, lymph nodes of inguinal region and lower limb",cancer,Non CNS Cancer,CCS 2015 -> ICD-681
C8336,"Diffuse large B-cell lymphoma, intrapelvic lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-682
C8386,"Other non-follicular lymphoma, intrapelvic lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-683
C8337,"Diffuse large B-cell lymphoma, spleen",cancer,Non CNS Cancer,CCS 2015 -> ICD-684
C8387,"Other non-follicular lymphoma, spleen",cancer,Non CNS Cancer,CCS 2015 -> ICD-685
C8338,"Diffuse large B-cell lymphoma, lymph nodes of multiple sites",cancer,Non CNS Cancer,CCS 2015 -> ICD-686
C8388,"Other non-follicular lymphoma, lymph nodes of multiple sites",cancer,Non CNS Cancer,CCS 2015 -> ICD-687
C8460,"Anaplastic large cell lymphoma, ALK-positive, unspecified site",cancer,Non CNS Cancer,CCS 2015 -> ICD-688
C8469,"Anaplastic large cell lymphoma, ALK-positive, extranodal and solid organ sites",cancer,Non CNS Cancer,CCS 2015 -> ICD-689
C8470,"Anaplastic large cell lymphoma, ALK-negative, unspecified site",cancer,Non CNS Cancer,CCS 2015 -> ICD-690
C8479,"Anaplastic large cell lymphoma, ALK-negative, extranodal and solid organ sites",cancer,Non CNS Cancer,CCS 2015 -> ICD-691
C8461,"Anaplastic large cell lymphoma, ALK-positive, lymph nodes of head, face, and neck",cancer,Non CNS Cancer,CCS 2015 -> ICD-692
C8471,"Anaplastic large cell lymphoma, ALK-negative, lymph nodes of head, face, and neck",cancer,Non CNS Cancer,CCS 2015 -> ICD-693
C8462,"Anaplastic large cell lymphoma, ALK-positive, intrathoracic lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-694
C8472,"Anaplastic large cell lymphoma, ALK-negative, intrathoracic lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-695
C8463,"Anaplastic large cell lymphoma, ALK-positive, intra-abdominal lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-696
C8473,"Anaplastic large cell lymphoma, ALK-negative, intra-abdominal lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-697
C8464,"Anaplastic large cell lymphoma, ALK-positive, lymph nodes of axilla and upper limb",cancer,Non CNS Cancer,CCS 2015 -> ICD-698
C8474,"Anaplastic large cell lymphoma, ALK-negative, lymph nodes of axilla and upper limb",cancer,Non CNS Cancer,CCS 2015 -> ICD-699
C8465,"Anaplastic large cell lymphoma, ALK-positive, lymph nodes of inguinal region and lower limb",cancer,Non CNS Cancer,CCS 2015 -> ICD-700
C8475,"Anaplastic large cell lymphoma, ALK-negative, lymph nodes of inguinal region and lower limb",cancer,Non CNS Cancer,CCS 2015 -> ICD-701
C8466,"Anaplastic large cell lymphoma, ALK-positive, intrapelvic lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-702
C8476,"Anaplastic large cell lymphoma, ALK-negative, intrapelvic lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-703
C8467,"Anaplastic large cell lymphoma, ALK-positive, spleen",cancer,Non CNS Cancer,CCS 2015 -> ICD-704
C8477,"Anaplastic large cell lymphoma, ALK-negative, spleen",cancer,Non CNS Cancer,CCS 2015 -> ICD-705
C8468,"Anaplastic large cell lymphoma, ALK-positive, lymph nodes of multiple sites",cancer,Non CNS Cancer,CCS 2015 -> ICD-706
C8478,"Anaplastic large cell lymphoma, ALK-negative, lymph nodes of multiple sites",cancer,Non CNS Cancer,CCS 2015 -> ICD-707
C8339,Code not found,other,Non CNS Cancer,CCS 2015 -> ICD-708
C8331,"Diffuse large B-cell lymphoma, lymph nodes of head, face, and neck",cancer,Non CNS Cancer,CCS 2015 -> ICD-709
C8332,"Diffuse large B-cell lymphoma, intrathoracic lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-710
C8333,"Diffuse large B-cell lymphoma, intra-abdominal lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-711
C8334,"Diffuse large B-cell lymphoma, lymph nodes of axilla and upper limb",cancer,Non CNS Cancer,CCS 2015 -> ICD-712
C8335,"Diffuse large B-cell lymphoma, lymph nodes of inguinal region and lower limb",cancer,Non CNS Cancer,CCS 2015 -> ICD-713
C8336,"Diffuse large B-cell lymphoma, intrapelvic lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-714
C8337,"Diffuse large B-cell lymphoma, spleen",cancer,Non CNS Cancer,CCS 2015 -> ICD-715
C8338,"Diffuse large B-cell lymphoma, lymph nodes of multiple sites",cancer,Non CNS Cancer,CCS 2015 -> ICD-716
C8380,"Other non-follicular lymphoma, unspecified site",cancer,Non CNS Cancer,CCS 2015 -> ICD-717
C8389,"Other non-follicular lymphoma, extranodal and solid organ sites",cancer,Non CNS Cancer,CCS 2015 -> ICD-718
C8381,"Other non-follicular lymphoma, lymph nodes of head, face, and neck",cancer,Non CNS Cancer,CCS 2015 -> ICD-719
C8382,"Other non-follicular lymphoma, intrathoracic lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-720
C8383,"Other non-follicular lymphoma, intra-abdominal lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-721
C8384,"Other non-follicular lymphoma, lymph nodes of axilla and upper limb",cancer,Non CNS Cancer,CCS 2015 -> ICD-722
C8385,"Other non-follicular lymphoma, lymph nodes of inguinal region and lower limb",cancer,Non CNS Cancer,CCS 2015 -> ICD-723
C8386,"Other non-follicular lymphoma, intrapelvic lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-724
C8387,"Other non-follicular lymphoma, spleen",cancer,Non CNS Cancer,CCS 2015 -> ICD-725
C8388,"Other non-follicular lymphoma, lymph nodes of multiple sites",cancer,Non CNS Cancer,CCS 2015 -> ICD-726
C8290,"Follicular lymphoma, unspecified, unspecified site",cancer,Non CNS Cancer,CCS 2015 -> ICD-727
C8299,"Follicular lymphoma, unspecified, extranodal and solid organ sites",cancer,Non CNS Cancer,CCS 2015 -> ICD-728
C8291,"Follicular lymphoma, unspecified, lymph nodes of head, face, and neck",cancer,Non CNS Cancer,CCS 2015 -> ICD-729
C8292,"Follicular lymphoma, unspecified, intrathoracic lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-730
C8293,"Follicular lymphoma, unspecified, intra-abdominal lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-731
C8294,"Follicular lymphoma, unspecified, lymph nodes of axilla and upper limb",cancer,Non CNS Cancer,CCS 2015 -> ICD-732
C8295,"Follicular lymphoma, unspecified, lymph nodes of inguinal region and lower limb",cancer,Non CNS Cancer,CCS 2015 -> ICD-733
C8296,"Follicular lymphoma, unspecified, intrapelvic lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-734
C8297,"Follicular lymphoma, unspecified, spleen",cancer,Non CNS Cancer,CCS 2015 -> ICD-735
C8298,"Follicular lymphoma, unspecified, lymph nodes of multiple sites",cancer,Non CNS Cancer,CCS 2015 -> ICD-736
C8400,"Mycosis fungoides, unspecified site",other,Non CNS Cancer,CCS 2015 -> ICD-737
C8409,"Mycosis fungoides, extranodal and solid organ sites",other,Non CNS Cancer,CCS 2015 -> ICD-738
C8401,"Mycosis fungoides, lymph nodes of head, face, and neck",other,Non CNS Cancer,CCS 2015 -> ICD-739
C8402,"Mycosis fungoides, intrathoracic lymph nodes",other,Non CNS Cancer,CCS 2015 -> ICD-740
C8403,"Mycosis fungoides, intra-abdominal lymph nodes",other,Non CNS Cancer,CCS 2015 -> ICD-741
C8404,"Mycosis fungoides, lymph nodes of axilla and upper limb",other,Non CNS Cancer,CCS 2015 -> ICD-742
C8405,"Mycosis fungoides, lymph nodes of inguinal region and lower limb",other,Non CNS Cancer,CCS 2015 -> ICD-743
C8406,"Mycosis fungoides, intrapelvic lymph nodes",other,Non CNS Cancer,CCS 2015 -> ICD-744
C8407,"Mycosis fungoides, spleen",other,Non CNS Cancer,CCS 2015 -> ICD-745
C8408,"Mycosis fungoides, lymph nodes of multiple sites",other,Non CNS Cancer,CCS 2015 -> ICD-746
C8410,"Sezary disease, unspecified site",other,Non CNS Cancer,CCS 2015 -> ICD-747
C8419,"Sezary disease, extranodal and solid organ sites",other,Non CNS Cancer,CCS 2015 -> ICD-748
C8411,"Sezary disease, lymph nodes of head, face, and neck",other,Non CNS Cancer,CCS 2015 -> ICD-749
C8412,"Sezary disease, intrathoracic lymph nodes",other,Non CNS Cancer,CCS 2015 -> ICD-750
C8413,"Sezary disease, intra-abdominal lymph nodes",other,Non CNS Cancer,CCS 2015 -> ICD-751
C8414,"Sezary disease, lymph nodes of axilla and upper limb",other,Non CNS Cancer,CCS 2015 -> ICD-752
C8415,"Sezary disease, lymph nodes of inguinal region and lower limb",other,Non CNS Cancer,CCS 2015 -> ICD-753
C8416,"Sezary disease, intrapelvic lymph nodes",other,Non CNS Cancer,CCS 2015 -> ICD-754
C8417,"Sezary disease, spleen",other,Non CNS Cancer,CCS 2015 -> ICD-755
C8418,"Sezary disease, lymph nodes of multiple sites",other,Non CNS Cancer,CCS 2015 -> ICD-756
C8440,"Peripheral T-cell lymphoma, not elsewhere classified, unspecified site",cancer,Non CNS Cancer,CCS 2015 -> ICD-757
C8449,"Peripheral T-cell lymphoma, not elsewhere classified, extranodal and solid organ sites",cancer,Non CNS Cancer,CCS 2015 -> ICD-758
C8441,"Peripheral T-cell lymphoma, not elsewhere classified, lymph nodes of head, face, and neck",cancer,Non CNS Cancer,CCS 2015 -> ICD-759
C8442,"Peripheral T-cell lymphoma, not elsewhere classified, intrathoracic lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-760
C8443,"Peripheral T-cell lymphoma, not elsewhere classified, intra-abdominal lymph nodes",cancer,Non CNS Cancer,CCS 2015 -> ICD-761
